1971-coyle-charlie,1.9,42.0,22.11,45238.1
435-michalek-zbynek,3.2,7.0,2.19,457142.86
435-michalek-zbynek,3.2,7.0,2.19,457142.86
2368-drouin-jonathan,0.925,10.0,10.81,92500.0
2624-bennett-sam,0.925,36.0,38.92,25694.44
213-stajan-matt,3.375,17.0,5.04,198529.41
454-hanzal-martin,3.5,41.0,11.71,85365.85
1381-cowen-jared,3.7,9.0,2.43,411111.11
531-russell-kris,2.6,15.0,5.77,173333.33
1558-kruger-marcus,1.5,4.0,2.67,375000.0
2343-hertl-tomas,0.925,46.0,49.73,20108.7
6-cogliano-andrew,2.9,32.0,11.03,90625.0
1264-perreault-mathieu,3.0,41.0,13.67,73170.73
1970-granlund-mikael,2.8,44.0,15.71,63636.36
1992-jones-martin,3.0,4.0,1.33,750000.0
397-robidas-stephane,3.0,10.0,3.33,300000.0
2456-kuznetsov-evgeny,2.6,77.0,29.62,33766.23
1786-komarov-leo,2.95,36.0,12.2,81944.44
1303-engelland-deryk,3.0,12.0,4.0,250000.0
1246-gunnarsson-carl,3.45,9.0,2.61,383333.33
1925-jenner-boone,0.775,49.0,63.23,15816.33
538-klein-kevin,3.0,26.0,8.67,115384.62
532-hainsey-ron,3.0,19.0,6.33,157894.74
1109-alzner-karl,2.8,21.0,7.5,133333.33
2190-galchenyuk-alex,2.5,56.0,22.4,44642.86
2208-ceci-cody,0.833,26.0,31.21,32038.46
788-clutterbuck-cal,3.0,23.0,7.67,130434.78
1403-lack-eddie,1.3,6.0,4.62,216666.67
1248-mcquaid-adam,3.0,9.0,3.0,333333.33
1496-tatar-tomas,2.75,45.0,16.36,61111.11
1634-smith-brendan,2.25,15.0,6.67,150000.0
840-sobotka-vladimir,2.725,33.0,12.11,82575.76
2389-lindholm-elias,0.925,39.0,42.16,23717.95
1416-niederreiter-nino,2.6,43.0,16.54,60465.12
1130-lovejoy-ben,1.2,10.0,8.33,120000.0
525-dorsett-derek,3.1,16.0,5.16,193750.0
1517-greening-colin,3.2,1.0,0.31,3200000.0
1517-greening-colin,3.2,1.0,0.31,3200000.0
320-stuart-mark,3.3,3.0,0.91,1100000.0
1577-zibanejad-mika,2.0,51.0,25.5,39215.69
2074-miller-j-t-,0.874,43.0,49.2,20325.58
2632-hayes-kevin,0.9,36.0,40.0,25000.0
293-vanek-thomas,2.6,41.0,15.77,63414.63
1639-orlov-dmitry,2.25,29.0,12.89,77586.21
2188-dumba-mathew,0.833,26.0,31.21,32038.46
30-greene-matt,2.5,0.0,0.0,0
799-hansen-jannik,2.5,38.0,15.2,65789.47
1347-martin-matt,1.3,19.0,14.62,68421.05
233-elliott-brian,2.5,6.0,2.4,416666.67
1566-colborne-joe,1.275,44.0,34.51,28977.27
1594-strome-ryan,0.833,28.0,33.61,29750.0
1665-ellis-ryan,2.0,32.0,16.0,62500.0
1837-miller-kevan,0.85,7.0,8.24,121428.57
2060-nelson-brock,1.5,40.0,26.67,37500.0
2189-yakupov-nail,2.5,23.0,9.2,108695.65
572-stempniak-lee,0.85,41.0,48.24,20731.71
1408-wingels-tommy,2.475,18.0,7.27,137500.0
883-comeau-blake,2.4,36.0,15.0,66666.67
2349-raffl-michael,1.2,31.0,25.83,38709.68
2152-allen-jake,2.2,3.0,1.36,733333.33
1378-weise-dale,1.025,26.0,25.37,39423.08
762-semin-alexander,1.1,19.0,17.27,57894.74
1829-gibson-john,0.788,4.0,5.08,197000.0
1669-hayes-jimmy,2.0,29.0,14.5,68965.52
2191-murray-ryan,0.833,25.0,30.01,33320.0
285-campbell-brian,7.14,31.0,4.34,230322.58
519-chimera-jason,2.0,40.0,20.0,50000.0
1661-foligno-marcus,2.25,23.0,10.22,97826.09
166-schultz-nick,2.25,10.0,4.44,225000.0
971-polak-roman,3.1,3.0,0.97,1033333.33
449-winnik-daniel,2.7,5.0,1.85,540000.0
2318-rieder-tobias,0.925,37.0,40.0,25000.0
1438-lehner-robin,2.025,5.0,2.47,405000.0
1501-calvert-matt,1.5,24.0,16.0,62500.0
1519-bouma-lance,2.1,7.0,3.33,300000.0
2179-hickey-thomas,1.25,18.0,14.4,69444.44
922-matthias-shawn,2.3,17.0,7.39,135294.12
1171-schlemko-david,0.625,19.0,30.4,32894.74
1463-cole-ian,1.5,12.0,8.0,125000.0
147-richardson-brad,1.75,31.0,17.71,56451.61
1951-sheahan-riley,1.05,25.0,23.81,42000.0
1272-kindl-jakub,0.36,13.0,36.11,27692.31
2814-reilly-mike,0.925,7.0,7.57,132142.86
763-fehr-eric,2.0,14.0,7.0,142857.14
919-boyle-brian,2.0,20.0,10.0,100000.0
1944-roussel-antoine,1.8,29.0,16.11,62068.97
1140-lewis-trevor,1.55,16.0,10.32,96875.0
1957-jarnkrok-calle,0.735,30.0,40.82,24500.0
1711-zucker-jason,0.95,23.0,24.21,41304.35
2187-wilson-tom,0.833,23.0,27.61,36217.39
599-tyutin-fedor,2.0,3.0,1.5,666666.67
198-hudler-jiri,4.0,35.0,8.75,114285.71
142-liles-john-michael,2.75,15.0,5.45,183333.33
1656-de-haan-calvin,2.4,16.0,6.67,150000.0
1470-king-dwight,2.0,13.0,6.5,153846.15
2162-namestnikov-vladislav,0.874,35.0,40.05,24971.43
1369-bonino-nick,1.9,29.0,15.26,65517.24
1114-smith-zack,2.0,36.0,18.0,55555.56
1210-hendricks-matt,1.85,16.0,8.65,115625.0
1705-baertschi-sven,0.9,28.0,31.11,32142.86
479-carle-matthew,1.833,9.0,4.91,203666.67
1241-letestu-mark,1.8,25.0,13.89,72000.0
1084-mitchell-john,1.8,21.0,11.67,85714.29
2831-hanifin-noah,0.925,22.0,23.78,42045.45
1191-beagle-jay,1.75,17.0,9.71,102941.18
229-vermette-antoine,1.75,38.0,21.71,46052.63
2401-horvat-bo,0.925,40.0,43.24,23125.0
2409-zadorov-nikita,0.925,2.0,2.16,462500.0
2626-virtanen-jake,0.925,13.0,14.05,71153.85
2394-nurse-darnell,0.925,10.0,10.81,92500.0
1647-mcnabb-brayden,0.675,14.0,20.74,48214.29
1266-johnson-chad,1.6,4.0,2.5,400000.0
1520-moore-john,1.3,19.0,14.62,68421.05
1199-grabner-michael,5.0,18.0,3.6,277777.78
1440-holden-nick,1.5,22.0,14.67,68181.82
2629-ritchie-nick,0.925,4.0,4.32,231250.0
2840-rantanen-mikko,0.925,0.0,0.0,0
2578-karlsson-melker,1.45,19.0,13.1,76315.79
1186-neuvirth-michal,1.5,4.0,2.67,375000.0
362-umberger-r-j-,4.5,15.0,3.33,300000.0
1033-thompson-nate,1.6,6.0,3.75,266666.67
1420-clifford-kyle,1.35,9.0,6.67,150000.0
2506-mccabe-jake,0.925,14.0,15.14,66071.43
1128-purcell-teddy,4.5,11.0,2.44,409090.91
2633-ehlers-nikolaj,0.925,38.0,41.08,24342.11
1689-prout-dalton,1.1,9.0,8.18,122222.22
2048-gelinas-eric,1.5,6.0,4.0,250000.0
360-richards-mike,3.12,16.0,5.13,195000.0
